gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals,X,Y
5366754153,"Psarocolius decumanus (Pallas, 1769)",Icteridae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,2,308093.49329704023,7750641.770944715
5653961205,"Rupornis magnirostris (Gmelin, 1788)",Accipitridae,Accipitriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,6,308093.49329704023,7750641.770944715
5605757238,"Jacana jacana (Linnaeus, 1766)",Jacanidae,Charadriiformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr3387929,4,306135.2109768133,7749553.67220656
5070075477,"Tangara desmaresti (Vieillot, 1819)",Thraupidae,Passeriformes,2025-02-15T09:44,HUMAN_OBSERVATION,-20.098516,-43.488889,Minas Gerais,iNaturalist research-grade observations,filipeprates,5,657985.6245917974,7776900.823115038
5069999729,"Tyrannus melancholicus Vieillot, 1819",Tyrannidae,Passeriformes,2025-02-14T17:19,HUMAN_OBSERVATION,-20.101789,-43.484623,Minas Gerais,iNaturalist research-grade observations,filipeprates,9,658428.4181045752,7776534.481831051
5164141416,"Tangara cyanoventris (Vieillot, 1819)",Thraupidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,7,658080.9597998535,7777023.389103258
5336723317,"Lepidocolaptes squamatus (Lichtenstein, 1822)",Furnariidae,Passeriformes,2024-01-08,HUMAN_OBSERVATION,-20.097673,-43.48922,Minas Gerais,,obsr398519,7,657951.8582842028,7776994.449207315
5298602821,"Herpsilochmus atricapillus Pelzeln, 1868",Thamnophilidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.098928,-43.49928,Minas Gerais,,obsr3066956,9,656898.6503140766,7776865.034611004
3210253361,"Lepidocolaptes angustirostris (Vieillot, 1818)",Furnariidae,Passeriformes,2020-12-21,HUMAN_OBSERVATION,-20.315615,-46.833275,Minas Gerais,,obsr1115302,8,308590.0044995516,7752528.672881655
5672815217,"Passer domesticus (Linnaeus, 1758)",Passeridae,Passeriformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,9,308093.49329704023,7750641.770944715
4843491297,"Psittacara leucophthalmus (Müller & Pls, 1776)",Psittacidae,Psittaciformes,2023-11-04,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,8,305693.68330693664,7749238.22244161
5344490226,"Cranioleuca pallida (Wied-Neuwied, 1831)",Furnariidae,Passeriformes,2024-01-27,HUMAN_OBSERVATION,-20.15265,-43.520786,Minas Gerais,,obsr753626,7,654596.9984089466,7770938.651325583
5070124211,"Augastes scutatus (Temminck, 1824)",Trochilidae,Apodiformes,2025-02-15T06:46,HUMAN_OBSERVATION,-20.101628,-43.501009,Minas Gerais,iNaturalist research-grade observations,filipeprates,6,656715.1657709688,7776567.7973246435
5164129394,"Basileuterus hypoleucus Bonaparte, 1850",Parulidae,Passeriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,4,658080.9597998535,7777023.389103258
5164024379,"Phyllomyias griseocapilla P.L.Sclater, 1862",Tyrannidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,7,658080.9597998535,7777023.389103258
5164023343,"Coragyps atratus (Bechstein, 1793)",Cathartidae,Accipitriformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,5,658080.9597998535,7777023.389103258
