gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals
5164096351,"Amazilia versicolor (Vieillot, 1818)",Trochilidae,Apodiformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,8
5547215125,"Piranga flava (Vieillot, 1822)",Cardinalidae,Passeriformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,4
2727048718,"Sporophila caerulescens (Vieillot, 1823)",Thraupidae,Passeriformes,2016-10-14,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,9
5694722817,"Leptotila verreauxi Bonaparte, 1855",Columbidae,Columbiformes,2024-07-18,HUMAN_OBSERVATION,-20.332607,-46.83823,Minas Gerais,,obsr2661064,9
2186850905,"Myiothlypis flaveola S.F.Baird, 1865",Parulidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,4
5070117882,"Pyriglena leucoptera (Vieillot, 1818)",Thamnophilidae,Passeriformes,2025-02-14T15:31,HUMAN_OBSERVATION,-20.100337,-43.485638,Minas Gerais,iNaturalist research-grade observations,filipeprates,4
2715232764,"Piranga flava (Vieillot, 1822)",Cardinalidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,2
5164144402,"Elaenia sordida J.T.Zimmer, 1941",Tyrannidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,8
5164104344,"Myiothlypis leucoblephara (Vieillot, 1817)",Parulidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,2
5355094550,"Colonia colonus (Vieillot, 1818)",Tyrannidae,Passeriformes,2024-01-29,HUMAN_OBSERVATION,-20.097754,-43.48859,Minas Gerais,,obsr1426674,9
3745700122,"Cypsnagra hirundinacea (R.Lesson, 1831)",Thraupidae,Passeriformes,1974-02-08,PRESERVED_SPECIMEN,-19.513611,-43.744722,Minas Gerais,,Ivan Sazima,3
5164023478,"Crypturellus obsoletus (Temminck, 1815)",Tinamidae,Tinamiformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,9
5070091391,"Daptrius Vieillot, 1816",Falconidae,Falconiformes,2025-02-15T08:00,HUMAN_OBSERVATION,-20.09906,-43.49931,Minas Gerais,iNaturalist research-grade observations,filipeprates,5
5164064319,"Cranioleuca pallida (Wied-Neuwied, 1831)",Furnariidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,9
2799168919,"Pionus maximiliani (Kuhl, 1820)",Psittacidae,Psittaciformes,2016-10-16,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,1
3233622336,"Sicalis flaveola (Linnaeus, 1766)",Thraupidae,Passeriformes,2020-02-22,HUMAN_OBSERVATION,-20.343294,-46.84829,Minas Gerais,,obsr1127182,10
4837081596,"Brotogeris chiriri (Vieillot, 1818)",Psittacidae,Psittaciformes,2023-11-05,HUMAN_OBSERVATION,-20.34504,-46.86136,Minas Gerais,,obsr1149399,7
5840487554,"Lepidocolaptes squamatus (Lichtenstein, 1822)",Furnariidae,Passeriformes,2025-08-30T13:13,HUMAN_OBSERVATION,-20.101688,-43.492851,Minas Gerais,iNaturalist research-grade observations,Gabriel CAUCANAS,1
5346843474,"Columbina squammata (R.Lesson, 1831)",Columbidae,Columbiformes,2024-02-04,HUMAN_OBSERVATION,-19.643545,-43.52514,Minas Gerais,,obsr1359206,1
5346390122,"Tyrannus savana Vieillot, 1808",Tyrannidae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.339453,-46.83927,Minas Gerais,,obsr2661064,1
